source,target
FCS_051,FCS_173
FCS_079,FCS_173
FCS_081,FCS_173
FCS_027,FCS_171
FCS_101,FCS_171
FCS_084,FCS_171
FCS_090,FCS_171
FCS_173,FCS_171
FCS_051,FCS_171
FCS_079,FCS_171
FCS_081,FCS_171
FCS_027,FCS_170
FCS_101,FCS_170
FCS_084,FCS_170
FCS_090,FCS_170
FCS_173,FCS_170
FCS_051,FCS_170
FCS_079,FCS_170
FCS_081,FCS_170
FCS_027,FCS_169
FCS_101,FCS_169
FCS_084,FCS_169
FCS_090,FCS_169
FCS_173,FCS_169
FCS_051,FCS_169
FCS_079,FCS_169
FCS_081,FCS_169
FCS_027,FCS_165
FCS_101,FCS_165
FCS_084,FCS_165
FCS_090,FCS_165
FCS_173,FCS_165
FCS_051,FCS_165
FCS_079,FCS_165
FCS_081,FCS_165
FCS_027,FCS_163
FCS_101,FCS_163
FCS_084,FCS_163
FCS_090,FCS_163
FCS_173,FCS_163
FCS_051,FCS_163
FCS_079,FCS_163
FCS_081,FCS_163
FCS_027,FCS_161
FCS_101,FCS_161
FCS_084,FCS_161
FCS_090,FCS_161
FCS_173,FCS_161
FCS_051,FCS_161
FCS_079,FCS_161
FCS_081,FCS_161
FCS_027,FCS_155
FCS_101,FCS_155
FCS_084,FCS_155
FCS_090,FCS_155
FCS_173,FCS_155
FCS_051,FCS_155
FCS_079,FCS_155
FCS_081,FCS_155
FCS_027,FCS_145
FCS_101,FCS_145
FCS_084,FCS_145
FCS_090,FCS_145
FCS_173,FCS_145
FCS_051,FCS_145
FCS_079,FCS_145
FCS_081,FCS_145
FCS_027,FCS_140
FCS_101,FCS_140
FCS_084,FCS_140
FCS_090,FCS_140
FCS_173,FCS_140
FCS_051,FCS_140
FCS_079,FCS_140
FCS_081,FCS_140
FCS_027,FCS_122
FCS_101,FCS_122
FCS_084,FCS_122
FCS_090,FCS_122
FCS_173,FCS_122
FCS_051,FCS_122
FCS_079,FCS_122
FCS_081,FCS_122
FCS_027,FCS_119
FCS_101,FCS_119
FCS_084,FCS_119
FCS_027,FCS_109
FCS_101,FCS_109
FCS_084,FCS_109
FCS_090,FCS_109
FCS_173,FCS_109
FCS_051,FCS_109
FCS_079,FCS_109
FCS_081,FCS_109
FCS_027,FCS_108
FCS_101,FCS_108
FCS_084,FCS_108
FCS_090,FCS_108
FCS_173,FCS_108
FCS_051,FCS_108
FCS_079,FCS_108
FCS_081,FCS_108
FCS_027,FCS_106
FCS_101,FCS_106
FCS_084,FCS_106
FCS_090,FCS_106
FCS_173,FCS_106
FCS_051,FCS_106
FCS_079,FCS_106
FCS_081,FCS_106
FCS_027,FCS_105
FCS_101,FCS_105
FCS_084,FCS_105
FCS_090,FCS_105
FCS_173,FCS_105
FCS_051,FCS_105
FCS_079,FCS_105
FCS_081,FCS_105
FCS_027,FCS_104
FCS_101,FCS_104
FCS_084,FCS_104
FCS_090,FCS_104
FCS_173,FCS_104
FCS_051,FCS_104
FCS_079,FCS_104
FCS_081,FCS_104
FCS_027,FCS_103
FCS_101,FCS_103
FCS_084,FCS_103
FCS_090,FCS_103
FCS_173,FCS_103
FCS_051,FCS_103
FCS_079,FCS_103
FCS_081,FCS_103
FCS_027,FCS_102
FCS_101,FCS_102
FCS_084,FCS_102
FCS_090,FCS_102
FCS_173,FCS_102
FCS_051,FCS_102
FCS_079,FCS_102
FCS_081,FCS_102
FCS_027,FCS_101
FCS_101,FCS_101
FCS_084,FCS_101
FCS_090,FCS_101
FCS_173,FCS_101
FCS_051,FCS_101
FCS_079,FCS_101
FCS_081,FCS_101
FCS_027,FCS_100
FCS_101,FCS_100
FCS_084,FCS_100
FCS_090,FCS_100
FCS_173,FCS_100
FCS_051,FCS_100
FCS_079,FCS_100
FCS_081,FCS_100
FCS_027,FCS_097
FCS_101,FCS_097
FCS_084,FCS_097
FCS_090,FCS_097
FCS_173,FCS_097
FCS_051,FCS_097
FCS_079,FCS_097
FCS_081,FCS_097
FCS_027,FCS_092
FCS_101,FCS_092
FCS_084,FCS_092
FCS_090,FCS_092
FCS_173,FCS_092
FCS_051,FCS_092
FCS_079,FCS_092
FCS_081,FCS_092
FCS_027,FCS_090
FCS_101,FCS_090
FCS_084,FCS_090
FCS_090,FCS_090
FCS_173,FCS_090
FCS_051,FCS_090
FCS_079,FCS_090
FCS_081,FCS_090
FCS_027,FCS_087
FCS_101,FCS_087
FCS_084,FCS_087
FCS_090,FCS_087
FCS_173,FCS_087
FCS_051,FCS_087
FCS_079,FCS_087
FCS_081,FCS_087
FCS_027,FCS_084
FCS_101,FCS_084
FCS_084,FCS_084
FCS_090,FCS_084
FCS_173,FCS_084
FCS_051,FCS_084
FCS_079,FCS_084
FCS_081,FCS_084
FCS_027,FCS_082
FCS_101,FCS_082
FCS_084,FCS_082
FCS_084,FCS_073
FCS_090,FCS_073
FCS_173,FCS_073
FCS_079,FCS_073
FCS_081,FCS_073
FCS_027,FCS_071
FCS_101,FCS_071
FCS_084,FCS_071
FCS_090,FCS_071
FCS_173,FCS_071
FCS_079,FCS_071
FCS_081,FCS_071
FCS_027,FCS_067
FCS_101,FCS_067
FCS_084,FCS_067
FCS_090,FCS_067
FCS_173,FCS_067
FCS_079,FCS_067
FCS_081,FCS_067
FCS_027,FCS_065
FCS_101,FCS_065
FCS_173,FCS_058
FCS_079,FCS_058
FCS_081,FCS_058
FCS_027,FCS_051
