source,target
FCS_027,FCS_033
FCS_027,FCS_112
FCS_027,FCS_115
FCS_027,FCS_119
FCS_027,FCS_122
FCS_027,FCS_145
FCS_027,FCS_140
FCS_027,FCS_155
FCS_027,FCS_161
FCS_027,FCS_163
FCS_027,FCS_165
FCS_027,FCS_169
FCS_027,FCS_173
FCS_027,FCS_175
FCS_027,FCS_178
FCS_027,FCS_181
FCS_027,FCS_182
FCS_027,FCS_186
FCS_027,FCS_190
FCS_027,FCS_193
FCS_103,FCS_033
FCS_101,FCS_043
FCS_101,FCS_058
FCS_101,FCS_051
FCS_101,FCS_060
FCS_101,FCS_063
FCS_101,FCS_065
FCS_101,FCS_067
FCS_101,FCS_071
FCS_101,FCS_073
FCS_101,FCS_079
FCS_101,FCS_081
FCS_101,FCS_082
FCS_101,FCS_084
FCS_101,FCS_087
FCS_101,FCS_090
FCS_101,FCS_092
FCS_101,FCS_097
FCS_101,FCS_100
FCS_101,FCS_101
FCS_101,FCS_115
FCS_101,FCS_119
FCS_101,FCS_122
FCS_101,FCS_145
FCS_101,FCS_140
FCS_101,FCS_155
FCS_101,FCS_161
FCS_101,FCS_163
FCS_101,FCS_165
FCS_101,FCS_169
FCS_101,FCS_170
FCS_101,FCS_171
FCS_101,FCS_173
FCS_101,FCS_175
FCS_101,FCS_178
FCS_101,FCS_181
FCS_101,FCS_182
FCS_101,FCS_186
FCS_101,FCS_190
FCS_101,FCS_193
FCS_101,FCS_033
FCS_084,FCS_043
FCS_084,FCS_058
FCS_084,FCS_051
FCS_084,FCS_060
FCS_084,FCS_063
FCS_084,FCS_065
FCS_084,FCS_067
FCS_084,FCS_071
FCS_084,FCS_073
FCS_084,FCS_079
FCS_084,FCS_081
FCS_084,FCS_082
FCS_084,FCS_084
FCS_084,FCS_087
FCS_084,FCS_090
FCS_084,FCS_092
FCS_084,FCS_097
FCS_084,FCS_105
FCS_084,FCS_106
FCS_084,FCS_108
FCS_084,FCS_109
FCS_084,FCS_112
FCS_084,FCS_115
FCS_084,FCS_119
FCS_084,FCS_122
FCS_084,FCS_145
FCS_084,FCS_140
FCS_084,FCS_155
FCS_084,FCS_161
FCS_084,FCS_181
FCS_084,FCS_182
FCS_084,FCS_186
FCS_084,FCS_190
FCS_084,FCS_193
FCS_084,FCS_033
FCS_090,FCS_043
FCS_090,FCS_058
FCS_090,FCS_051
FCS_090,FCS_060
FCS_090,FCS_063
FCS_090,FCS_065
FCS_090,FCS_067
FCS_090,FCS_071
FCS_090,FCS_073
FCS_090,FCS_079
FCS_090,FCS_081
FCS_090,FCS_082
FCS_090,FCS_084
FCS_090,FCS_087
FCS_090,FCS_092
FCS_090,FCS_105
FCS_090,FCS_106
FCS_090,FCS_108
FCS_090,FCS_109
FCS_090,FCS_112
FCS_090,FCS_115
FCS_090,FCS_119
FCS_090,FCS_122
FCS_090,FCS_145
FCS_090,FCS_140
FCS_090,FCS_181
FCS_090,FCS_182
FCS_090,FCS_186
FCS_090,FCS_190
FCS_090,FCS_193
FCS_043,FCS_043
FCS_043,FCS_058
FCS_043,FCS_051
FCS_043,FCS_060
FCS_043,FCS_063
FCS_043,FCS_065
FCS_043,FCS_067
FCS_043,FCS_071
FCS_043,FCS_073
FCS_043,FCS_079
FCS_043,FCS_081
FCS_043,FCS_082
FCS_043,FCS_084
FCS_043,FCS_087
FCS_043,FCS_109
FCS_043,FCS_112
FCS_043,FCS_115
FCS_043,FCS_119
FCS_043,FCS_122
FCS_043,FCS_145
FCS_043,FCS_140
FCS_043,FCS_155
FCS_043,FCS_161
FCS_043,FCS_163
FCS_043,FCS_165
FCS_043,FCS_169
FCS_043,FCS_170
FCS_043,FCS_171
FCS_043,FCS_173
FCS_043,FCS_175
FCS_043,FCS_178
FCS_043,FCS_181
FCS_043,FCS_182
FCS_043,FCS_186
FCS_043,FCS_190
FCS_043,FCS_193
FCS_043,FCS_033
FCS_058,FCS_043
FCS_058,FCS_051
FCS_058,FCS_060
FCS_058,FCS_063
FCS_058,FCS_065
FCS_058,FCS_067
FCS_058,FCS_071
FCS_058,FCS_073
FCS_058,FCS_079
FCS_058,FCS_081
FCS_058,FCS_082
FCS_058,FCS_084
FCS_058,FCS_087
FCS_058,FCS_090
FCS_058,FCS_092
FCS_058,FCS_097
FCS_058,FCS_100
FCS_058,FCS_101
FCS_058,FCS_122
FCS_058,FCS_145
FCS_058,FCS_140
FCS_058,FCS_155
FCS_058,FCS_161
FCS_058,FCS_163
FCS_058,FCS_165
FCS_058,FCS_169
FCS_058,FCS_170
FCS_058,FCS_171
FCS_058,FCS_173
FCS_058,FCS_175
FCS_058,FCS_178
FCS_058,FCS_181
FCS_058,FCS_182
FCS_058,FCS_186
FCS_058,FCS_190
FCS_058,FCS_193
FCS_058,FCS_033
